subject,description
connection through RDP failed,"Hello i'm trying to use the RDP connection with server's IP address but i'm not getting the IP, the connection through the browser is good but i'm like to use the RDP app


thanks"
80% quota threshold exceeded for the folder C:\Users\renata.hervertova\ on server AOF0312!,"Quota threshold 80% exceeded for folder C:\Users\renata.hervertova\ on server AOF0312. The quota limit is 2048,00 MB, and 1670,51 MB currently is in use (81% of limit).
Source of notification: C:\Users\renata.hervertova\AppData\Local\Temp\5\Pohoda01.mdb.
Owner of the source of the notification AOF\renata.hervertova."
Vps with remote controle not working,"Hello

I don’t have the identifiant for connecting with remote desktop is empty

Thanks"
Can't connect after resetting network settings,"Hi, i recently resetted my network settings now i cannot connect, i have important files on this VPS, is there anyway i can get this back?"
R: [AppOnFly] Re: New Subscription Zuccarello,"This is a follow-up to your previous request #2100 ""New Subscription Zuccarello""

Good afternoon,

the user Anna Zuccarello has the same problem within the login.

Can you please check it?

 

Cordiali saluti,

Matilde Gorgone

 

OVB Consulenza Patrimoniale srl

Stradone San Fermo, 19 - 37121 Verona


Tel: +39 045 8037070  

Mobil: +39 351 459 8368

 

Email:matilde.gorgone@ovb.it  | Web: www.ovb.it (http://www.ovb.it/)


            

 

Le informazioni contenute nella presente e-mail e i relativi allegati sono riservati esclusivamente alle persone o alla Società sopraindicati.

La diffusione, comunicazione e/o copia del contenuto della e-mail e dei documenti trasmessi da parte di qualsiasi soggetto diverso dal destinatario è vietata ai sensi dell'art. 616 c.p. e del Regolamento UE 2016/679.

Se avete ricevuto questo messaggio per errore, vi preghiamo di distruggerlo e di informarci immediatamente per telefono ai numeri sopra indicati o inviando un messaggio al presente indirizzo e-mail."
Roblox,RRoblox
Windows,When Will New Server Be Added You Have Not Added New Portal Yet In 1 Day Back I've already entered the simulation 56 times and there's a white screen.
problam,"I've been facing issues with this since yesterday. It was fine this afternoon, but now it's happening again. My usage time is not showing, and the machine isn't starting. It's just showing 'processing' and 'connecting' but nothing else Happening."
apponfly never works,i try to enter into the app and wait for hours trying to enter into it it never works and i dont know why if you could please help me it would be much appreciated
Can't Upload or download files,"i can't upload or download files, its stoped and get errors and make everything except upload and download smoothly"
Gaston,"Hola buenas mí consulta es si se puede pedir una IP publica fija para nuestro VPS y si es posible que se pueda compartir una carpeta del mismo vps al exterior . Queremos hacer un pequeño servidor y tener una base de datos que se pueda compartir entre los computadores físicos. . Pero ncesito que tenga IP publica y que deje compartir una carpeta “x” al exterior.. tipo hacer una red para tener acceso a una carpeta en la nube.

Si es posible estaremos comprando el plan mensual fijo de tiempo ilimitado."
Need to change the virtual location of VPS which i have purcahsed today,"Dear Team,

I hope this message finds you well. I recently purchased a Windows-based VPS from your platform, and I noticed that the current virtual location is set to Prague.

For my specific requirements, I need the VPS to be based in the UK. Could you please assist me in changing the VPS location to the UK at the earliest convenience? If there are any additional charges or steps I need to take, kindly let me know.

Thank you for your assistance. I look forward to your response."
I cant access my VPS,I cant acees ny VDS I tried all
I cant access my VPS,I need to access my VDS
help,hello sir i want a buy 8 gb vps .. but i use your trail version and i download zamtalk.com messenger and install put my id and login but its not work why ?? if a buy and its not work then what can i do please help me and guide what can i do i buy or not beacuse i just use zamtalk messenger thar why i buy your server
Can't connect after resetting network settings,"I have a folder called gloryx cs2 on my desktop, can you retrive that folder and send it to me? it's important. i can't connect to my vps anymore."
e3 error,e3 erroring
update,"hi

how much time after i can use vps"
delete,I need to delete my account please delete account
app spss use?,"Hello, How do i use apps? i paid for the 100 hours , yet i cannot figure how to apply or download an app? i just need spss"
ALL,"I have made a request about the rdp connection and 5 days later they have not answered me, the VPS never work, they disconnect by themselves and the page does not respond, right now the vps is stopped and does not start, I really feel scammed, it does not have a chat For one to talk to support, I imagine it would take a month to connect via email, what a bad service."
RDP IP address can not see,"why I can not see RDP IP address. please help.

see attachment"
IP pública fija ,"Hola buenas mí consulta es si se puede pedir una IP publica fija para nuestro VPS y si es posible que se pueda compartir una carpeta del mismo vps al exterior . Queremos hacer un pequeño servidor y tener una base de datos que se pueda compartir entre los computadores físicos. . Pero ncesito que tenga IP publica y que deje compartir una carpeta “x” al exterior.. tipo hacer una red para tener acceso a una carpeta en la nube.

Si es posible estaremos comprando el plan mensual fijo de tiempo ilimitado."
Request for VPS Location Change to the UK,"Dear

I hope this message finds you well. I recently purchased a Windows-based VPS from your platform, and I noticed that the current virtual location is set to Prague.

For my specific requirements, I need the VPS to be based in the UK. Could you please assist me in changing the VPS location to the UK at the earliest convenience? If there are any additional charges or steps I need to take, kindly let me know.

Thank you for your assistance. I look forward to your response."
Безкоштовна версія Access,"Добрий день, підкажіть, будь ласка де у віртуальному робочому столі знайти програму Acces, бо вона не відображається ніде і через пошуковий рядок її також не можна знайти."
My telegram hacked because i logined in ur free rdp,My telegram hacked because i logined into ur rdp and forget to logot from it which lead to hacked my account and I can't recover it right now! please let me know to get back to my account!
I cant access my VPS Pls help,"I need to access my VDS but it dont open please help me Only writing this and any action Connecting...

#### Please wait while we prepare VM for you."
i cant conecct to vps,Hi i have a probleme whith vps i cant connect  can you help me thanks
not working,"Hi,

trying to use the app however it isn't connecting?

just keeps spinning and saying waiting for VM however its been saying that the past 3 hours but my hours are going down even though i cant connect make that make sense to me please as i can't access the app is it a problem your end? paying for something what i can't use"
app spss use?,how do i use or download spss
Re: Microsoft Project Standard 2016 is ready to use,"Hi, I bought a copy of MS Project 2016 from the AppOnFly and it has been working fine. I am however, having issues with my Windows 11 and will have to factory reset my computer.

When I reinstall the MS Project after factory resetting my computer, will the old keys work or will you be able to give me a new key? I would really appreciate your response ASAP.

Regards,

Navin Suyal

On Thu, Aug 22, 2019 at 12:33 PM <support@apponfly.com> wrote:

 

 
 
Microsoft Project Standard 2016 is ready to use
   
 

Hi,

Your app is now ready and waiting for you!

-------------------------------

Getting started is easy:

1. Select the relevant file attached to this email: either AppOnFly client for Windows users or AppOnFly client for MAC and Android users.

If you use Windows 10, just open the file. For older versions of Windows, Mac OS, iOS and Android, please see these easy-to-follow instructions (https://www.apponfly.com/en/support/getting-started/how-do-i-connect) .

2. Sign in with your login details:
Login: navinsuyal@gmail.com
Password: ""principle93""

-------------------------------

We're here to help. If you have any questions, just hit reply to this email and we'll take care of the rest.

Enjoy AppOnFlying!

Susan Brown

Client Support

www.apponfly.com (https://www.apponfly.com/en/)


If you recieved this email in error and did not sign up for an AppOnFly account, let us know."
MS Project Standard 2016,"Hi, I bought a copy of MS Project Standard 2016 from the AppOnFly story and it has been working fine. I am however, having issues with my Windows 11 and will have to factory reset my computer.


When I reinstall the MS Project after factory resetting my computer, will the old keys work or will you be able to give me a new key? I would really appreciate your response ASAP.

Regards,

Navin Suyal"
I can't Connect to my VPS,"I Bought the Windows VPS - 2CPU, 8GB RAM, 100GB SSD for $12-$12.30 and I still haven't gotten my VPS."
80% quota threshold exceeded for the folder C:\Users\aspp\ on server AOF0279!,"Quota threshold 80% exceeded for folder C:\Users\aspp\ on server AOF0279. The quota limit is 2048,00 MB, and 1638,44 MB currently is in use (80% of limit).
Source of notification: C:\Users\aspp\Downloads\Nepotvrzeno 242049.crdownload.
Owner of the source of the notification AOF\aspp."
90% quota threshold exceeded for the folder C:\Users\aspp\ on server AOF0279!,"Quota threshold 90% exceeded for folder C:\Users\aspp\ on server AOF0279. The quota limit is 2048,00 MB, and 1843,22 MB currently is in use (90% of limit).
Source of notification: C:\Users\aspp\Downloads\Nepotvrzeno 242049.crdownload.
Owner of the source of the notification AOF\aspp."
100% quota threshold exceeded for the folder C:\Users\aspp\ on server AOF0279!,"Quota threshold 100% exceeded for folder C:\Users\aspp\ on server AOF0279. The quota limit is 2048,00 MB, and 2047,08 MB currently is in use (99% of limit).
Source of notification: C:\Users\aspp\Downloads\Nepotvrzeno 242049.crdownload.
Owner of the source of the notification AOF\aspp."
90% quota threshold exceeded for the folder C:\Users\hani.probost\ on server AOF0289!,"Quota threshold 90% exceeded for folder C:\Users\hani.probost\ on server AOF0289. The quota limit is 2048,00 MB, and 1843,20 MB currently is in use (90% of limit).
Source of notification: C:\Users\hani.probost\AppData\Local\Temp\3\Inisoft\ISEnvita\Update\IsEnvitaCz.exe.
Owner of the source of the notification AOF\hani.probost."
90% quota threshold exceeded for the folder C:\Users\hani.probost\ on server AOF0289!,"Quota threshold 90% exceeded for folder C:\Users\hani.probost\ on server AOF0289. The quota limit is 2048,00 MB, and 1843,26 MB currently is in use (90% of limit).
Source of notification: C:\Users\hani.probost\AppData\Local\Temp\2\Inisoft\ISEnvita\Update\IsEnvitaCz.exe.
Owner of the source of the notification AOF\hani.probost."
